,nro_invoice,dt_vencimento,dt_pagamento,valor_invoice,dolar_vencimento,dolar_provisao,dolar_pagamento,valor_pago,saving provisao,saving vencimento,total vencimento,total provisao
0,359063,2018-2-13,2018-1-3,58952.12,3.294,3.2881,3.252,191712.29424,2128.171532,2475.98904,2475.98904,2128.171532
1,k04142,2018-1-2,2018-1-2,117277.06,3.311,3.2819,3.277,384316.92562,574.657594,3987.42004,6463.40908,2702.829126
2,F001-00007391,2018-1-2,2018-1-2,348013.71,3.311,3.2819,3.277,1140440.92767,1705.267179,11832.46614,18295.87522,4408.096305
3,D020001OXV,2018-1-11,2018-1-2,63213.9,3.2264,3.2788,3.269,206646.2391,619.49622,-2692.91214,15602.96308,5027.592525
4,359018,2018-1-15,2018-1-2,562805.74,3.2007,3.2591,3.269,1839811.96406,-5571.776826,-38439.632042,-22836.668962,-544.184301
5,K04139,2018-1-2,2018-1-2,76048.49,3.311,3.2819,3.277,249210.90173,372.637601,2585.64866,-20251.020302,-171.5467
6,100210053921,2017-12-22,2017-12-22,6070.91,3.3068,3.2892,3.325,20185.77575,-217.338578,-110.490562,-20361.510864,-388.885278
7,92506387,2018-1-24,2018-1-24,30691.66,3.2355,3.25,3.232,99195.44512,552.44988,107.42081,-20254.090054,163.564602
8,92506139,2018-1-23,2018-1-23,19842.79,3.2007,3.25,3.214,63774.72706,714.34044,-263.909107,-20517.999161,877.905042
9,6000001567,2018-1-22,2018-1-22,7560.0,3.1947,3.2697,3.193,24139.08,579.852,12.852,-20505.147161,1457.757042
10,92506138,2018-1-23,2018-1-23,2224.24,3.2007,3.25,3.214,7148.70736,80.07264,-29.582392,-20534.729553,1537.829682
11,92506392,2018-1-24,2018-1-24,28608.08,3.2355,3.25,3.232,92461.31456,514.94544,100.12828,-20434.601273,2052.775122
12,92507018,2018-1-25,2018-1-24,6647.14,3.1451,3.25,3.232,21483.55648,119.64852,-577.636466,-21012.237739,2172.423642
13,92506485,2018-1-25,2018-1-24,19842.78,3.1451,3.25,3.232,64131.86496,357.17004,-1724.337582,-22736.575321,2529.593682
14,92506391,2018-1-24,2018-1-24,123643.87,3.2355,3.25,3.232,399616.98784,2225.58966,432.753545,-22303.821776,4755.183342
15,92506137,2018-1-23,2018-1-23,8104.0,3.2007,3.25,3.214,26046.256,291.744,-107.7832,-22411.604976,5046.927342
16,EXP411516,2018-2-27,2018-2-21,80256.51,3.2225,3.25,3.25,260833.6575,-2.91038304567e-11,-2207.054025,-24618.659001,5046.927342
17,92506973,2018-2-28,2018-2-21,29580.17,3.2485,3.25,3.25,96135.5525,-1.45519152284e-11,-44.370255,-24663.029256,5046.927342
18,92506390,2018-1-24,2018-1-24,9552.32,3.2355,3.25,3.232,30873.09824,171.94176,33.43312,-24629.596136,5218.869102
19,92506393,2018-1-24,2018-1-24,47030.99,3.2355,3.25,3.232,152004.15968,846.55782,164.608465,-24464.987671,6065.426922
20,MONET 121917-01,2018-2-17,2018-1-3,227713.35,3.2264,3.3024,3.246,739157.5341,12843.03294,-4463.18166,-28928.169331,18908.459862
21,359019,2018-1-15,2018-1-3,107481.66,3.2007,3.2591,3.269,351357.54654,-1064.068434,-7340.997378,-36269.166709,17844.391428
22,92502496,2017-12-29,2018-1-11,32059.21,3.3111,3.25,3.228,103487.12988,705.30262,2664.120351,-33605.046358,18549.694048
23,92506388,2017-12-25,2018-1-11,19537.21,3.338,3.25,3.228,63066.11388,429.81862,2149.0931,-31455.953258,18979.512668
24,92506395,2017-12-25,2018-1-11,11758.04,3.338,3.25,3.228,37954.95312,258.67688,1293.3844,-30162.568858,19238.189548
25,92506573,2017-12-26,2018-1-11,287.93,3.3355,3.25,3.228,929.43804,6.33446,30.952475,-30131.616383,19244.524008
26,EXP411476,2017-12-22,2018-1-11,2259.53,3.3068,3.25,3.228,7293.76284,49.70966,178.050964,-29953.565419,19294.233668
27,K22700,2018-2-5,2018-2-5,76170.64,3.2154,3.3165,3.206,244203.07184,8416.85572,716.004016,-29237.561403,27711.089388
28,100210063118,2018-1-31,2018-1-17,7171.08,3.1795,3.2403,3.237,23212.78596,23.664564,-412.3371,-29649.898503,27734.753952
29,20171234730,2018-1-6,2018-1-16,14942.27,3.2331,3.2892,3.222,48143.99394,1004.120544,165.859197,-29484.039306,28738.874496
30,NEAI81705278-A,2018-1-6,2018-1-8,7500.0,3.2331,3.2354,3.242,24315.0,-49.5,-66.75,-29550.789306,28689.374496
31,9000143260,2018-1-16,2018-1-16,500.0,3.2132,3.3182,3.222,1611.0,48.1,-4.4,-29555.189306,28737.474496
32,92506136,2018-1-23,2018-1-23,29533.55,3.2007,3.25,2.214,65387.2797,30596.7578,29140.753785,-414.435521,59334.232296
33,12225,2018-1-24,2018-1-23,17500.0,3.2355,3.3,3.232,56560.0,1190.0,61.25,-353.185521,60524.232296
34,92506389,2018-1-24,2018-1-24,3815.66,3.2355,3.25,3.232,12332.21312,68.68188,13.35481,-339.830711,60592.914176
35,2017-1092,2018-1-26,2018-1-24,27500.0,3.1469,3.3,3.232,88880.0,1870.0,-2340.25,-2680.080711,62462.914176
36,7636 ...,2018-2-5,2018-2-5,25227.0,3.2154,3.36,3.206,80877.762,3884.958,237.1338,-2442.946911,66347.872176
37,K22703,2018-2-5,2018-2-5,118178.42,3.2154,3.3165,3.206,378880.01452,13058.71541,1110.877148,-1332.069763,79406.587586
38,186467,2018-2-5,2018-2-5,26470.59,3.2154,0.01,3.206,84864.71154,-84600.00564,248.823546,-1083.246217,-5193.418054
39,9000144617,2018-2-9,2018-2-5,0.74,3.2846,3.2397,3.226,2.38724,0.010138,0.043364,-1083.202853,-5193.407916
40,7975,2018-2-14,2018-2-5,346161.26,3.2942,3.3165,3.2369,1120489.38249,27554.436296,19835.040198,18751.837345,22361.02838
41,9000145833,2018-2-17,2018-2-5,500.0,3.2264,3.2324,3.226,1613.0,3.2,0.2,18752.037345,22364.22838
42,9010003082,2018-1-25,2018-1-24,26800.0,3.1451,3.3,3.249,87073.2,1366.8,-2784.52,15967.517345,23731.02838
